code,date,open,high,low,close,vol
FLC,20111005,13.9241,13.9241,8.0794,13.9241,1004400
FLC,20111006,13.9241,13.9241,12.8067,12.8067,1100
FLC,20111007,12.8067,13.6663,12.8067,13.6663,181500
FLC,20111010,13.6663,14.6117,13.6663,14.6117,120300
FLC,20111011,14.6117,14.6977,13.8382,14.6117,143300
FLC,20111012,14.6117,14.6117,13.4084,13.7522,134200
FLC,20111013,13.7522,14.3539,12.8927,13.1505,44700
FLC,20111014,13.1505,13.3224,12.7208,12.7208,79500
FLC,20111017,12.7208,12.7208,12.0332,12.0332,5000
FLC,20111018,12.0332,12.0332,11.2596,11.2596,6500
FLC,20111019,11.2596,12.0332,10.4861,10.5720,248800
FLC,20111020,10.5720,11.0018,9.8844,11.0018,50500
FLC,20111021,11.0018,11.1737,10.4001,10.4001,17200
FLC,20111024,10.4001,10.9158,10.3142,10.4861,43800
FLC,20111025,10.4861,10.5720,10.1422,10.2282,33700
FLC,20111026,10.2282,10.2282,10.0563,10.0563,11300
FLC,20111027,10.0563,10.3142,9.7984,9.7984,22500
FLC,20111028,9.7984,10.9158,9.5406,10.3142,169300
FLC,20111031,10.3142,10.6580,9.5406,9.8844,112300
FLC,20111101,9.8844,10.2282,9.5406,9.5406,61900
FLC,20111102,9.5406,9.7984,9.1968,9.1968,37200
FLC,20111103,9.1968,9.1968,8.6811,8.6811,39600
FLC,20111104,8.6811,9.2827,8.0794,9.1968,765400
FLC,20111107,9.1968,9.6265,9.1968,9.6265,231200
FLC,20111108,9.6265,9.8844,9.0249,9.2827,191600
FLC,20111109,9.2827,9.6265,9.0249,9.2827,385800
FLC,20111110,9.2827,9.2827,8.7670,8.9389,253500
FLC,20111111,8.9389,9.7125,8.8530,9.1968,377500
FLC,20111114,9.1968,9.4546,8.7670,8.8530,448400
FLC,20111115,8.8530,9.3687,8.5951,9.1108,317200
FLC,20111116,9.1108,9.4546,8.2513,9.1108,486700
FLC,20111117,9.1108,9.5406,9.0249,9.1108,448700
FLC,20111118,9.1108,9.7125,9.0249,9.4546,312600
FLC,20111121,9.4546,9.7125,9.1108,9.7125,232100
FLC,20111122,9.7125,10.2282,9.6265,10.2282,252600
FLC,20111123,10.2282,10.8299,10.2282,10.8299,151900
FLC,20111124,10.8299,11.5175,10.8299,11.5175,218300
FLC,20111125,11.5175,12.2910,11.5175,12.0332,442100
FLC,20111128,12.0332,12.8067,12.0332,12.8067,424400
FLC,20111129,12.8067,13.5803,12.8067,13.5803,543800
FLC,20111130,13.5803,14.0960,13.3224,13.4084,369700
FLC,20111201,13.4084,13.9241,12.6348,12.6348,291800
FLC,20111202,12.6348,12.9786,12.2910,12.5489,315200
FLC,20111205,12.5489,13.3224,12.0332,12.8067,227100
FLC,20111206,12.8067,13.5803,12.8067,12.8067,259000
FLC,20111207,12.8067,12.8067,12.2910,12.2910,279600
FLC,20111208,12.2910,12.4629,11.6894,11.9472,214500
FLC,20111209,11.9472,12.2910,11.6034,12.2910,296000
FLC,20111212,12.2910,12.8067,11.9472,12.6348,353800
FLC,20111213,12.6348,13.1505,12.3770,12.8927,439500
FLC,20111214,12.8927,13.1505,12.4629,12.4629,152200
FLC,20111215,12.4629,12.7208,12.2051,12.3770,257600
FLC,20111216,12.3770,13.2365,12.0332,13.0646,335400
FLC,20111219,13.0646,13.5803,12.4629,13.5803,538000
FLC,20111220,13.5803,14.1820,13.2365,14.1820,431500
FLC,20111221,14.1820,14.8696,14.1820,14.8696,308500
FLC,20111222,14.8696,15.8150,14.8696,15.3853,281800
FLC,20111223,15.3853,15.3853,14.4398,14.7836,356800
FLC,20111226,14.7836,15.5572,14.5258,15.5572,353200
FLC,20111227,15.5572,16.3307,15.5572,16.2448,283800
FLC,20111228,16.2448,17.3622,16.2448,17.3622,267600
FLC,20111229,17.3622,18.3936,16.1588,17.4481,238800
FLC,20111230,17.4481,17.8779,16.3307,17.2762,725800
FLC,20120103,17.2762,18.6514,16.7605,18.3936,202300
FLC,20120104,18.3936,19.3390,18.3936,18.6514,148200
FLC,20120105,18.6514,20.1126,18.2217,19.5109,114200
FLC,20120106,19.5109,20.2845,18.3936,19.2531,133300
FLC,20120109,19.2531,19.9407,18.3936,18.7374,146900
FLC,20120110,18.7374,19.5109,18.3076,19.4250,318400
FLC,20120111,19.4250,20.1126,18.9952,19.3390,210000
FLC,20120112,19.3390,20.3704,19.3390,19.6828,203100
FLC,20120113,19.6828,20.1126,19.3390,19.4250,308000
FLC,20120116,19.4250,20.1126,18.5655,20.0266,255100
FLC,20120117,20.0266,20.0266,19.3390,19.6828,141800
FLC,20120118,19.6828,21.0581,18.3076,20.9721,287100
FLC,20120119,20.9721,21.4878,20.7143,21.4878,187400
FLC,20120120,21.4877,22.7257,19.8960,22.7257,296500
FLC,20120130,22.7257,23.6099,22.7257,23.6099,159500
FLC,20120131,23.6099,25.2016,23.6099,25.2016,208300
FLC,20120201,25.2016,26.7049,25.2016,26.7049,208600
FLC,20120202,26.7049,28.0313,26.7049,27.7660,149800
FLC,20120203,27.7660,29.5345,27.7660,29.3577,169100
FLC,20120206,29.3577,31.2146,29.1808,29.5345,204100
FLC,20120207,29.5345,30.8609,28.1197,29.7114,232900
FLC,20120208,29.7114,31.3915,28.3850,31.3915,295900
FLC,20120209,31.3915,31.9220,30.4188,31.5683,208900
FLC,20120210,31.5683,31.5683,29.2692,29.2692,164800
FLC,20120213,29.2692,30.0651,29.0924,29.5345,126200
FLC,20120214,29.5345,30.7725,29.5345,30.7725,199000
FLC,20120215,30.7725,31.3915,29.4461,29.6229,124000
FLC,20120216,29.6229,30.3304,29.5345,29.9767,141200
FLC,20120217,29.9767,31.8336,29.7998,30.8609,207600
FLC,20120220,30.8609,31.7452,30.3304,30.7725,115200
FLC,20120221,30.7725,30.9493,30.3304,30.5072,118500
FLC,20120222,30.5072,30.7725,28.4734,30.7725,312200
FLC,20120223,30.7725,32.0105,29.9767,32.0105,264200
FLC,20120224,32.0105,33.2484,31.3915,33.2484,186300
FLC,20120227,33.2484,35.3707,33.2484,35.3707,203100
FLC,20120228,35.3707,37.6698,35.1938,37.4929,202700
FLC,20120229,37.4929,38.8193,36.8739,37.4929,120000
FLC,20120301,37.4929,39.7920,36.0781,37.2276,173000
FLC,20120302,37.2276,37.4929,35.3707,36.6087,187000
FLC,20120305,36.6087,38.5540,36.6087,38.5540,148900
FLC,20120306,38.5540,40.9416,35.6360,35.7244,131200
FLC,20120307,35.7244,35.8128,35.0170,35.0170,52700
FLC,20120308,35.0170,35.0170,32.7179,32.7179,39500
FLC,20120309,32.7179,33.4253,31.4799,31.4799,54800
FLC,20120312,31.4799,31.9220,29.7998,29.7998,113300
FLC,20120313,29.7998,30.2419,28.2081,28.2081,98800
FLC,20120314,28.2081,29.0040,27.0586,27.3239,136300
